ID de respuesta,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
85995138,18,1,1,0,1,3,5,1,2,1,0,1,3,1,0,13.50,4,0,3.33
86206406,18,2,1,1,0,3,5,0,2,1,0,0,3,0,1,14.89,4,0,3.08
86372268,19,2,1,0,1,2,5,0,2,0,1,0,3,1,0,13.20,5,1,3.58
87168306,21,2,0,0,0,1,5,1,2,1,1,1,2,0,0,16.89,1,1,3.42
87172339,20,1,1,0,1,1,5,0,1,1,1,0,1,1,0,14.00,4,1,2.50
87172577,19,2,1,0,1,2,2,0,2,1,1,0,2,1,1,17.00,3,1,2.75
87174264,20,2,1,1,0,2,5,1,2,0,1,1,3,0,0,16.20,1,1,3.33
87174302,22,1,1,0,0,1,5,0,2,1,1,1,3,0,0,14.00,5,0,2.83
87174360,19,2,1,0,1,2,3,0,2,1,1,1,3,1,0,15.00,4,1,3.08
87174502,22,2,1,1,0,1,4,0,2,0,1,0,1,0,1,14.70,4,1,3.00
87175058,22,2,1,1,0,1,5,0,2,0,1,1,3,0,1,15.05,4,1,3.00
87176191,20,2,1,1,1,1,2,1,2,1,1,1,3,1,1,17.00,1,1,3.08
87176457,20,1,0,0,0,1,5,0,2,1,1,1,3,1,0,14.20,5,0,3.33
87176570,19,1,1,1,0,2,3,1,2,0,1,0,1,1,1,15.00,3,0,3.83
87179522,22,1,1,1,0,1,5,0,2,1,1,0,1,0,1,11.90,5,0,3.75
87181881,19,2,1,1,1,2,5,0,2,1,0,0,3,0,0,15.40,2,0,2.75
